57 12
55 11
51 18
57 22
61 25
63 28
71 15
74 11
74 9
74 6
80 8
80 5
84 6
84 9
84 11
80 16
78 17
84 19
93 0
94 10
94 14
94 16
94 18
94 20
101 14
110 10
120 6
117 10
117 12
117 13
117 14
120 19
124 20
125 21
124 23
125 25
127 16
124 12
126 11
126 5
130 6
140 6
143 10
149 8
155 6
149 11
143 13
143 17
143 21
147 22
148 20
149 20
153 21
163 10
166 8
170 10
173 5
176 8
186 10
186 14
186 16
186 18
195 14
202 10
212 8
209 10
209 11
209 12
209 15
216 14
217 14
219 5
222 8
224 11
232 6
232 13
235 18
241 16
247 6
258 6
264 5
268 6
264 10
263 10
262 10
263 13
264 13
264 15
268 16
268 14
278 10
281 7
287 5
285 10
286 10
287 10
287 13
291 14
291 16
293 19
299 16
299 21
294 35
278 35
287 25
287 15
286 13
281 12
278 12
278 13
281 14
281 16
278 19
268 20
268 23
268 27
264 30
262 28
263 26
262 24
263 22
262 21
258 28
255,36
255,34
255,32
255,31
258,24
258,20
265,17
263,15
258,14
255,12
255,10
258,12
258,12
255,13
255,15
248,13
241,20
240,20
239,20
235,22
235,26
235,30
241,33
245,34
245,36
235,36
235,34
232,31
232,29
232,27
232,25
232,23
232,21
224,12
218,14
212,16
212,16
209,17
209,19
212,20
212,20
209,21
209,23
209,25
209,27
209,29
209,32
212,33
216,31
217,31
218,31
212,37
209,37
209,34
195,32
201,26
199,23
199,21
195,21
195,22
189,23
186,26
186,20
176,17
173,17
170,18
169,17
163,12
163,14
163,16
163,18
163,20
163,22
163,24
169,25
173,25
176,25
172,26
172,29
166,28
166,31
166,35
153,29
153,31
153,36
149,42
149,33
149,30
150,29
146,29
143,36
143,34
143,34
143,31
140,28
140,26
140,24
140,22
140,20
130,14
130,19
130,22
130,26
126,29
124,27
120,23
120,27
117,33
117,35
109,23
107,21
104,21
100,21
101,25
94,23
94,25
94,27
94,29
94,31
100,32
104,32
107,32
107,34
107,36
103,33
97,34
97,36
80,30
80,27
80,23
78,21
71,17
71,18
71,19
71,21
71,23
71,24
71,25
74,29
71,34
71,36
64,35
55,23
48,35
48,28
48,25
48,24
48,23
48,21
38,21
38,19
34,18
32,25
35,32
38,34
34,33
31,32
28,34
18,34
8,28
2,27
2,34
6,42
0,40
0,37
0,34
0,31
0,28
0,25
2,25
2,23
0,22
0,19
0,16
0,13
0,7
0,4
5,8
12,5
15,8
9,10
2,10
2,12
2,14
2,16
2,21
5,20
8,17
12,17
15,17
11,18
9,21
12,28
15,28
25,31
25,29
25,27
25,25
28,21
28,19
25,16
25,14
25,12
25,10
25,6
32,10
31,17
35,17
38,17
38,17
40,6
48,14
48,13
48,12
48,10
51,8
58,5
61,8
61,14
57,16
57,12
