25
89
1	6
1	12
1	14
1	20
1	23
1	24
2	8
2	11
2	21
3	15
3	17
3	21
3	23
4	10
4	12
4	13
4	16
4	18
4	20
4	22
5	9
5	10
5	12
5	15
5	22
5	24
6	12
6	14
6	15
6	16
6	21
6	25
7	12
7	13
8	10
8	12
8	13
8	15
8	16
8	21
8	25
9	12
9	21
9	22
9	23
9	24
9	25
10	11
10	12
10	13
10	15
10	16
10	17
10	19
10	20
10	23
11	12
11	14
11	15
11	19
11	20
12	19
12	20
12	21
12	23
13	19
13	20
13	21
13	22
13	23
13	24
13	25
14	19
14	25
15	17
15	21
16	19
16	23
16	24
17	21
17	24
18	20
18	22
19	21
19	24
20	25
21	25
22	24
23	25
